Original destination milepost,Original origin milepost,Post-calibration destination milepost ,Post-calibration origin milepost,Traffic Message Channel location codes,Truck Travel Time Reliability Index,Travel Time Index,Traffic Message Channel miles,Highway segment,Corridor number,Corridor name
44.18,46.18,43.907,45.831,105+05425,1.08,1.03,1.99,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
46.18,46.68,45.831,46.328,105P05424,1.07,1.02,0.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
46.68,49.74,46.328,49.732,105+05424,1.07,1.02,3.06,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
49.74,50.03,49.732,50.032,105P05423,1.08,1.03,0.51,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
50.03,50.04,50.032,50.045,105P05423,1.08,1.03,0.51,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
50.04,50.25,50.045,50.244,105P05423,1.08,1.03,0.51,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
50.25,50.27,50.244,50.248,105+05423,1.05,1.03,0.01,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
50.27,51.4,50.248,51.314,105+05422,1.11,1.03,1.14,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
51.4,51.99,51.314,51.886,105P05421,1.09,1.03,0.59,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
51.99,53.41,51.886,53.219,105+05421,1.12,1.03,1.41,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
53.41,54,53.219,53.814,105P05420,1.09,1.03,0.59,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
54,55.67,53.814,55.602,105+05420,1.11,1.03,1.66,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
55.67,56.27,55.602,56.179,105P05419,1.21,1.04,0.6,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
56.27,56.89,56.179,56.833,105+05419,1.4,1.06,0.61,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
56.89,57.07,56.833,57.014,105P05418,1.13,1.04,0.19,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
57.07,58.42,57.014,58.294,105+05418,1.19,1.04,1.34,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
58.42,58.87,58.294,58.745,105P05417,1.29,1.05,0.45,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
58.87,60.34,58.745,60.129,105+05417,1.3,1.05,1.46,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
60.34,60.48,60.129,60.284,105P05416,1.29,1.05,0.15,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
60.48,60.49,60.284,60.294,105+05416,1.25,1.06,0,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
60.49,60.92,60.294,60.786,105P05415,1.21,1.05,0.43,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
60.92,62.98,60.786,62.92,105+05415,1.15,1.05,2.06,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
62.98,63.44,62.92,63.398,105P05414,1.12,1.06,0.46,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
63.44,65.06,63.398,65.062,105+05414,1.14,1.06,1.62,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
65.06,65.48,65.062,65.49,105P05413,1.13,1.06,0.42,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
65.48,66.52,65.49,66.472,105+05413,1.1,1.04,1.03,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
66.52,66.97,66.472,66.894,105P05412,1.08,1.03,0.45,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
66.97,68.2,66.894,68.067,105+05412,1.07,1.03,1.22,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
68.2,68.64,68.067,68.471,105P05411,1.07,1.03,0.43,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
68.64,69.18,68.471,68.999,105+05411,1.08,1.03,0.54,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
69.18,69.59,68.999,69.38,105P05410,1.1,1.03,0.41,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
69.59,70.03,69.38,69.814,105+05410,1.23,1.04,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
70.03,70.24,69.814,70.002,105P05409,1.15,1.04,0.21,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
70.24,70.58,70.002,70.34,105+05409,1.09,1.03,0.33,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
70.58,71.01,70.34,70.781,105P05408,1.07,1.03,0.43,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
71.01,72.42,70.781,72.294,105+05408,1.08,1.03,1.4,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
72.42,72.78,72.294,72.663,105P05407,1.09,1.03,0.36,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
72.78,74.31,72.663,74.097,105+05407,1.17,1.04,1.52,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
74.31,74.62,74.097,74.392,105P05406,1.08,1.03,0.31,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
74.62,75.45,74.392,75.19,105+05406,1.08,1.03,0.82,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
75.45,75.82,75.19,75.584,105P05405,1.07,1.03,0.37,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
75.82,76.68,75.584,76.496,105+05405,1.08,1.02,0.86,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
76.68,77.01,76.496,76.816,105P05404,1.08,1.03,0.33,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
77.01,78.83,76.816,78.616,105+05404,1.08,1.03,1.81,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
78.83,79.04,78.616,78.804,105P05403,1.08,1.03,0.21,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
79.04,82.68,78.804,82.508,105+05403,1.08,1.02,3.63,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
82.68,82.99,82.508,82.802,105P05402,1.08,1.03,0.3,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
82.99,84.95,82.802,84.718,105+05402,1.07,1.02,1.96,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
84.95,85.42,84.718,85.198,105P05401,1.11,1.03,0.46,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
85.42,86.48,85.198,86.275,105+05401,1.13,1.04,1.06,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
86.48,86.84,86.275,86.617,105P05400,1.11,1.03,0.36,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
86.84,89.97,86.617,89.743,105+05400,1.08,1.03,3.12,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
89.97,90.27,89.743,90.081,105P05399,1.1,1.03,0.29,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
90.27,92.37,90.081,92.302,105+05399,1.1,1.03,2.1,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
92.37,92.86,92.302,92.828,105P05398,1.08,1.03,0.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
92.86,93.14,92.828,93.12,105+05398,1.09,1.03,0.28,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
93.14,93.75,93.12,93.694,105P05397,1.15,1.04,0.6,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
93.75,94.45,93.694,94.355,105+05397,1.16,1.04,0.7,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
94.45,94.95,94.355,94.792,105P05396,1.08,1.03,0.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
94.95,98.23,94.792,98.211,105+05396,1.09,1.04,3.27,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
98.23,98.72,98.211,98.72,105P05395,1.11,1.04,0.49,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
98.72,98.96,98.72,98.958,105+05395,1.1,1.03,0.24,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
98.96,99.18,98.958,99.188,105P05394,1.1,1.03,0.22,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
99.18,101.95,99.188,101.826,105+05394,1.09,1.02,2.75,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
101.95,102.41,101.826,102.178,105P05393,1.13,1.04,0.45,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
102.41,103.05,102.178,102.817,105+05393,1.15,1.04,0.64,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
103.05,103.37,102.817,103.136,105P05392,1.25,1.05,0.32,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
103.37,104.89,103.136,104.642,105+05392,1.12,1.03,1.52,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
104.89,105.21,104.642,104.908,105P05391,1.13,1.03,0.31,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
105.21,105.47,104.908,105.156,105+05391,1.11,1.03,0.27,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
105.47,106.22,105.156,105.878,105P05390,1.09,1.03,0.74,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
106.22,106.65,105.878,106.302,105+05390,1.07,1.03,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
106.65,106.95,106.302,106.598,105P05389,1.08,1.04,0.29,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
106.95,108.08,106.598,107.697,105+05389,1.1,1.04,1.13,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
108.08,108.55,107.697,108.132,105P05388,1.12,1.04,0.47,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
108.55,110.05,108.132,109.581,105+05388,1.18,1.04,1.49,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
110.05,110.52,109.581,110.031,105P05387,1.05,1.03,0.47,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
110.52,112.23,110.031,111.664,105+05387,1.07,1.02,1.7,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
112.23,112.6,111.664,112.012,105P05386,1.05,1.02,0.36,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
112.6,113.21,112.012,112.613,105+05386,1.06,1.02,0.61,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
113.21,113.59,112.613,113.067,105P05385,1.05,1.02,0.38,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
113.59,114.79,113.067,114.23,105+05385,1.06,1.02,1.2,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
114.79,115.21,114.23,114.598,105P05384,1.05,1.02,0.41,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
115.21,115.48,114.598,114.859,105+05384,1.05,1.02,0.27,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
115.48,115.91,114.859,115.314,105P05383,1.06,1.02,0.42,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
115.91,116.11,115.314,115.497,105+05383,1.06,1.02,0.19,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
116.11,116.53,115.497,115.902,105P05382,1.05,1.02,0.42,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
116.53,116.77,115.902,116.143,105+05382,1.06,1.03,0.23,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
116.77,117.07,116.143,116.451,105P05381,1.05,1.02,0.58,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
117.07,117.08,116.451,116.461,105P05381,1.05,1.02,0.58,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
117.08,117.34,116.461,116.691,105P05381,1.05,1.02,0.58,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
117.34,118.86,116.691,118.225,105+05381,1.05,1.02,1.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
118.86,118.96,118.225,118.322,105P05380,1.05,1.02,0.64,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
118.96,118.97,118.322,118.327,105P05380,1.05,1.02,0.64,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
118.97,119.51,118.327,118.835,105P05380,1.05,1.02,0.64,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
119.51,119.71,118.835,119.034,105+05380,1.06,1.03,0.2,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
119.71,120.24,119.034,119.547,105P05379,1.05,1.02,0.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
120.24,122.11,119.547,121.366,105+05379,1.04,1.01,1.86,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
122.11,122.59,121.366,121.841,105P05378,1.04,1.02,0.47,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
122.59,124.51,121.841,123.744,105+05378,1.07,1.02,1.91,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
124.51,124.95,123.744,124.2,105P05377,1.05,1.02,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
124.95,127.73,124.2,127.156,105+05377,1.06,1.02,2.77,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
127.73,128.01,127.156,127.42,105P05376,1.04,1.02,0.28,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
128.01,128.56,127.42,128.034,105+05376,1.04,1.02,0.55,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
128.56,128.83,128.034,128.323,105P05375,1.04,1.02,0.27,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
128.83,129.16,128.323,128.677,105+05375,1.04,1.02,0.32,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
129.16,129.43,128.677,128.94,105P05374,1.04,1.02,0.27,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
129.43,129.98,128.94,129.47,105+05374,1.05,1.02,0.55,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
129.98,130.37,129.47,129.863,105P05373,1.04,1.02,0.39,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
130.37,130.66,129.863,130.154,105+05373,1.05,1.01,0.29,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
130.66,131.15,130.154,130.651,105P05372,1.04,1.01,0.49,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
131.15,132.33,130.651,131.77,105+05372,1.05,1.01,1.17,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
132.33,132.61,131.77,132.05,105P05371,1.05,1.02,0.28,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
132.61,133.38,132.05,132.77,105+05371,1.04,1.02,0.76,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
133.38,133.85,132.77,133.236,105P05370,1.04,1.01,0.47,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
133.85,134.84,133.236,134.199,105+05370,1.05,1.02,0.99,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
134.84,135.38,134.199,134.676,105P05369,1.13,1.04,0.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
135.38,137.71,134.676,136.917,105+05369,1.18,1.06,2.31,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
137.71,138.15,136.917,137.347,105P05368,1.07,1.03,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
138.15,140.08,137.347,139.234,105+05368,1.05,1.02,1.92,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
140.08,140.62,139.234,139.727,105P05367,1.05,1.02,0.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
140.62,143.21,139.727,142.231,105+05367,1.05,1.01,2.57,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
143.21,143.64,142.231,142.706,105P05366,1.22,1.03,0.43,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
143.64,144.21,142.706,143.322,105+05366,1.14,1.02,0.56,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
144.21,144.71,143.322,143.784,105P05365,1.05,1.02,0.49,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
144.71,145.44,143.784,144.488,105+05365,1.04,1.01,0.72,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
145.44,145.91,144.488,144.96,105P05364,1.06,1.02,0.47,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
145.91,146.55,144.96,145.609,105+05364,1.05,1.02,0.65,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
146.55,146.87,145.609,145.938,105P05363,1.04,1.02,0.31,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
146.87,148.49,145.938,147.632,105+05363,1.05,1.01,1.62,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
148.49,148.71,147.632,147.867,105P05362,1.05,1.02,0.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
148.71,148.72,147.867,147.939,105P05362,1.05,1.02,0.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
148.72,148.99,147.939,148.153,105P05362,1.05,1.02,0.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
148.99,150.09,148.153,149.244,105+05362,1.04,1.02,1.1,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
150.09,150.34,149.244,149.518,105P05361,1.05,1.02,0.24,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
150.34,150.48,149.518,149.649,105+05361,1.07,1.02,0.15,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
150.48,150.89,149.649,150.057,105P05360,1.04,1.02,0.41,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
150.89,155.52,150.057,154.642,105+05360,1.04,1.01,4.59,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
155.52,155.81,154.642,154.932,105P05359,1.05,1.02,0.29,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
155.81,161.21,154.932,160.302,105+05359,1.05,1.01,5.36,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
161.21,161.65,160.302,160.772,105P05358,1.05,1.02,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
161.65,164.2,160.772,163.215,105+05358,1.05,1.01,2.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
164.2,164.67,163.215,163.715,105P05357,1.08,1.02,0.47,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
164.67,164.99,163.715,164.008,105+05357,1.13,1.02,0.31,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
164.99,165.41,164.008,164.452,105P05356,1.13,1.03,0.41,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
165.41,166.22,164.452,165.268,105+05356,1.1,1.02,0.81,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
166.22,166.64,165.268,165.673,105P05355,1.07,1.02,0.41,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
166.64,167.68,165.673,166.695,105+05355,1.1,1.03,1.03,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
167.68,168.18,166.695,167.207,105P05354,1.08,1.02,0.49,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
168.18,169.46,167.207,168.427,105+05354,1.1,1.02,1.27,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
169.46,169.88,168.427,168.881,105P05353,1.08,1.02,0.42,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
169.88,176.48,168.881,175.408,105+05353,1.05,1.01,6.54,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
176.48,176.72,175.408,175.698,105P05352,1.05,1.02,0.24,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
176.72,178.67,175.698,177.566,105+05352,1.05,1.02,1.93,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
178.67,178.81,177.566,177.724,105P05351,1.21,1.03,0.38,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
178.81,179.05,177.724,177.943,105P05351,1.21,1.03,0.38,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
179.05,179.5,177.943,178.394,105+05351,1.09,1.02,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
179.5,179.74,178.394,178.627,105P05350,1.06,1.02,0.25,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
179.74,183.36,178.627,182.203,105+05350,1.04,1.01,3.59,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
183.36,183.8,182.203,182.625,105P05349,1.05,1.02,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
183.8,187.58,182.625,186.41,105+05349,1.03,1.01,3.75,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
187.58,187.83,186.41,186.735,105P05348,1.04,1.02,0.24,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
187.83,189.68,186.735,188.506,105+05348,1.07,1.02,1.84,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
189.68,190.07,188.506,188.855,105P05347,1.36,1.04,0.39,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
190.07,190.52,188.855,189.33,105+05347,1.15,1.02,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
190.52,190.76,189.33,189.638,105P05346,1.08,1.02,0.23,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
190.76,194.43,189.638,193.191,105+05346,1.04,1.01,3.64,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
194.43,194.61,193.191,193.405,105P05345,1.04,1.02,0.4,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
194.61,194.83,193.405,193.608,105P05345,1.04,1.02,0.4,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
194.83,196.7,193.608,195.555,105+05345,1.04,1.01,1.86,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
196.7,197.13,195.555,195.978,105P05344,1.04,1.02,0.43,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
197.13,202.78,195.978,201.474,105+05344,1.03,1.01,5.61,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
202.78,203.31,201.474,202.009,105P05343,1.05,1.01,0.52,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
203.31,206.86,202.009,205.45,105+05343,1.04,1.01,3.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
206.86,207.4,205.45,205.993,105P05342,1.05,1.02,0.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
207.4,209.32,205.993,207.865,105+05342,1.04,1.01,1.91,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
209.32,209.68,207.865,208.219,105P05341,1.05,1.02,0.36,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
209.68,212.04,208.219,210.567,105+05341,1.04,1.01,2.34,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
212.04,212.56,210.567,211.072,105P05340,1.04,1.01,0.51,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
212.56,214.55,211.072,213.034,105+05340,1.06,1.01,1.98,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
214.55,215,213.034,213.448,105P05339,1.23,1.03,0.45,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
215,219.99,213.448,218.54,105+05339,1.05,1.01,4.96,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
219.99,220.34,218.54,218.87,105P05338,1.04,1.02,0.63,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
220.34,220.62,218.87,219.142,105P05338,1.04,1.02,0.63,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
220.62,220.88,219.142,219.398,105+05338,1.05,1.02,0.26,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
220.88,221.33,219.398,219.86,105P05337,1.05,1.01,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
221.33,222.85,219.86,221.306,105+05337,1.04,1.01,1.51,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
222.85,223.34,221.306,221.799,105P05336,1.04,1.01,0.49,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
223.34,228.61,221.799,227.045,105+05336,1.03,1.01,5.24,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
228.61,229.13,227.045,227.582,105P05335,1.04,1.01,0.52,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
229.13,231.27,227.582,229.706,105+05335,1.04,1.01,2.13,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
231.27,231.63,229.706,230.066,105P05334,1.05,1.01,0.35,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
231.63,232.29,230.066,230.714,105+05334,1.05,1.01,0.66,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
232.29,232.57,230.714,231.003,105P05333,1.05,1.01,0.28,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
232.57,238.95,231.003,237.316,105+05333,1.03,1.01,6.34,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
238.95,239.39,237.316,237.749,105P05177,1.04,1.01,0.44,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
239.39,241.61,237.749,239.955,105+05177,1.06,1.01,2.21,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
241.61,241.97,239.955,240.294,105P05176,1.31,1.03,0.35,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
